ID,PopulationUntransformed,SeriesStep
1,130,0
1,0,1
1,40,2
1,90,3
1,220,4
1,300,5
1,285,6
1,100,7
1,80,8
1,110,9
1,55,10
1,40,11
1,10,12
1,10,13
1,100,14
1,115,15
1,50,16
1,40,17
1,60,18
1,35,19
1,30,20
1,90,21
1,160,22
1,215,23
1,150,24
1,50,25
1,70,26
1,40,27
1,55,28
1,170,29
2,80,0
2,55,1
2,39,2
2,42,3
2,27,4
2,115,5
2,83,6
2,150,7
2,62,8
2,55,9
2,35,10
2,28,11
2,0,12
2,0,13
2,5,14
2,22,15
2,42,16
2,10,17
2,30,18
3,12,0
3,26,1
3,41,2
3,14,3
3,30,4
3,33,5
3,15,6
3,25,7
3,18,8
3,38,9
3,7,10
3,25,11
3,10,12
3,25,13
3,13,14
3,9,15
3,30,16
3,27,17
3,22,18
3,27,19
3,43,20
3,45,21
3,32,22
3,22,23
3,15,24
3,12,25
3,16,26
5,130,0
5,45,2
5,95,3
5,210,4
5,13,5
5,2,6
5,5,7
5,1,8
5,2,9
5,3,10
5,9,11
5,2,12
5,0,13
5,1,14
5,0,15
5,2,16
5,4,17
5,4,18
5,6,19
5,13,20
5,16,21
5,20,22
5,17,23
5,13,24
5,15,25
5,12,26
5,19,27
5,13,28
5,14,29
6,1,0
6,9,1
6,14,2
6,16,3
6,3,4
6,1,5
6,4,6
6,16,7
6,30,8
6,14,9
6,12,10
6,19,11
6,51,12
6,11,13
6,7,14
6,137,15
6,204,16
6,67,17
6,197,18
6,183,19
6,149,20
6,102,21
6,141,22
6,147,23
6,178,24
6,52,25
7,1,0
7,1,1
7,36,2
7,16,3
7,57,4
7,63,5
7,65,6
7,111,7
7,17,8
7,41,9
7,91,10
7,21,11
7,15,12
7,61,13
7,42,14
7,31,15
7,9,16
7,155,17
7,188,18
7,62,19
7,89,20
7,66,21
7,93,22
7,69,23
7,92,24
8,92.2,0
8,101.4,1
8,100,2
8,104.8,3
8,107.8,4
8,136.4,5
8,131.3,6
8,121.3,7
8,117.5,8
8,131,9
8,140.9,10
8,141.2,11
8,126.7,12
8,132.1,13
8,134.9,14
8,152.8,15
8,136.7,16
8,160,17
8,156.3,18
8,154.7,19
8,162.8,20
9,79,0
9,78.2,1
9,100,2
9,113,3
9,113.6,4
9,124,5
9,105.4,6
9,103.8,7
9,96.1,8
9,97.8,9
9,90.4,10
9,75.3,11
9,90.2,12
9,92.8,13
9,96,14
9,106.7,15
9,102.3,16
9,105.7,17
9,133.7,18
9,127.3,19
9,113,20
10,78.8,0
10,81.3,1
10,100,2
10,148.3,3
10,155.8,4
10,154.6,5
10,168.7,6
10,114.7,7
10,161.5,8
10,188.2,9
10,244.1,10
10,203.2,11
10,221.8,12
10,232.6,13
10,277.5,14
10,310.6,15
10,318.1,16
10,429.5,17
10,469.7,18
10,427.6,19
10,473.5,20
11,103.3,0
11,127.1,1
11,100,2
11,102.4,3
11,78.1,4
11,77.2,5
11,76.3,6
11,58.5,7
11,65.4,8
11,70.2,9
11,79.8,10
11,70.8,11
11,80.1,12
11,66.9,13
11,75.3,14
11,97.2,15
11,80.8,16
11,87.7,17
11,93.2,18
11,86.4,19
11,88.4,20
12,74.8,0
12,108.8,1
12,100,2
12,119.8,3
12,143.8,4
12,129.1,5
12,94.6,6
12,99.8,7
12,122.6,8
12,139.2,9
12,104.8,10
12,76.5,11
12,97.6,12
12,92.5,13
12,87.2,14
12,106.3,15
12,97.6,16
12,110.6,17
12,110.1,18
12,91.4,19
12,99.3,20
13,72.6,0
13,87.4,1
13,100,2
13,117.6,3
13,112.6,4
13,115.3,5
13,117.3,6
13,83.7,7
13,90,8
13,88.8,9
13,86.9,10
13,75.3,11
13,74.9,12
13,75.1,13
13,72.5,14
13,75.4,15
13,64.3,16
13,67.9,17
13,85.1,18
13,87.2,19
13,101.9,20
14,50.1,0
14,62.1,1
14,100,2
14,75.4,3
14,102.1,4
14,85.3,5
14,83.7,6
14,83.6,7
14,84.4,8
14,92.5,9
14,88.9,10
14,75.1,11
14,106.4,12
14,110,13
14,97.7,14
14,113.9,15
14,99.8,16
14,127.8,17
14,166.4,18
14,187.6,19
14,144.2,20
15,115.6,0
15,107.3,1
15,100,2
15,120.9,3
15,96.1,4
15,102.9,5
